src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic
91.108.16.1,192.168.1.77,527,23174,1588779617717,1588779619034,700,0
192.168.1.77,192.168.1.1,47127,53,1588779619914,1588779619916,186,0
192.168.1.77,91.108.8.7,23174,521,1588779620443,1588779620617,1032,0
0.0.0.0,255.255.255.255,68,67,1588779625981,1588779625981,397,0
192.168.1.43,192.168.1.255,138,138,1588779626393,1588779626393,243,0
192.168.1.77,192.168.1.255,137,137,1588779626394,1588779626394,276,0
192.168.1.77,192.168.1.1,49764,53,1588779628757,1588779628804,194,0
192.168.1.77,192.168.1.1,5812,53,1588779629044,1588779629045,160,0
192.168.1.77,192.168.1.1,54595,53,1588779629079,1588779637572,302,0
192.168.0.1,255.255.255.255,68,67,1588779631447,1588779651446,1605,0
192.168.1.77,216.58.205.68,61974,443,1588779634762,1588779634795,2854,0
192.168.1.77,216.58.205.68,50822,443,1588779634764,1588779634797,2854,0
192.168.1.77,192.168.1.255,57621,57621,1588779636498,1588779636498,86,0
192.168.1.77,239.255.255.250,52127,1900,1588779637830,1588779640832,864,0
192.168.1.77,87.11.205.195,28150,59772,1588779639103,1588779650102,302,0
192.168.1.53,239.255.255.250,50698,1900,1588779645381,1588779647380,336,0
192.168.1.53,239.255.255.250,56384,1900,1588779648840,1588779654853,672,0
192.168.1.53,192.168.1.255,57621,57621,1588779649019,1588779649019,82,0
192.168.1.77,192.168.1.75,5353,5353,1588779649979,1588779653520,640,0
192.168.1.77,91.108.16.3,28150,537,1588779650102,1588779651680,456,0
192.168.1.53,224.0.0.251,5353,5353,1588779650283,1588779654853,364,0
91.108.12.5,192.168.1.77,537,28150,1588779650367,1588779651645,350,0
91.108.12.3,192.168.1.77,530,28150,1588779650380,1588779651659,350,0
91.108.16.1,192.168.1.77,529,28150,1588779650446,1588779651686,350,0
192.168.1.77,192.168.1.1,58615,53,1588779650651,1588779650681,204,0
192.168.1.77,192.168.1.1,49533,53,1588779650652,1588779650666,186,0
192.168.1.77,91.108.8.8,28150,529,1588779654284,1588779654458,904,0
91.108.8.1,192.168.1.77,533,28150,1588779654458,1588779654458,234,1
192.168.1.75,224.0.0.251,5353,5353,1588779655297,1588779655297,275,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779655298,1588779655298,295,0
